81
0, (0, 1, 4, 5)
1, (0, 1, 5, 11)
2, (0, 2, 3, 5)
3, (0, 2, 4, 11)
4, (0, 2, 5, 7)
5, (0, 2, 5, 10)
6, (0, 3, 4, 7)
7, (0, 3, 4, 10)
8, (0, 3, 5, 6)
9, (0, 3, 5, 9)
10, (0, 3, 7, 11)
11, (0, 3, 10, 11)
12, (0, 4, 5, 8)
13, (0, 4, 6, 11)
14, (0, 4, 7, 10)
15, (0, 4, 9, 11)
16, (0, 5, 6, 7)
17, (0, 5, 6, 10)
18, (0, 5, 7, 9)
19, (0, 5, 8, 11)
20, (0, 5, 9, 10)
21, (0, 7, 10, 11)
22, (1, 2, 3, 4)
23, (1, 2, 3, 11)
24, (1, 2, 4, 7)
25, (1, 2, 4, 10)
26, (1, 2, 5, 6)
27, (1, 2, 5, 9)
28, (1, 2, 7, 11)
29, (1, 2, 10, 11)
30, (1, 3, 4, 6)
31, (1, 3, 4, 9)
32, (1, 3, 5, 8)
33, (1, 3, 6, 11)
34, (1, 3, 7, 10)
35, (1, 3, 9, 11)
36, (1, 4, 6, 7)
37, (1, 4, 6, 10)
38, (1, 4, 7, 9)
39, (1, 4, 8, 11)
40, (1, 4, 9, 10)
41, (1, 5, 6, 9)
42, (1, 5, 7, 8)
43, (1, 5, 8, 10)
44, (1, 6, 7, 11)
45, (1, 6, 10, 11)
46, (1, 7, 9, 11)
47, (1, 9, 10, 11)
48, (2, 3, 4, 8)
49, (2, 3, 6, 7)
50, (2, 3, 6, 10)
51, (2, 3, 7, 9)
52, (2, 3, 8, 11)
53, (2, 3, 9, 10)
54, (2, 4, 6, 9)
55, (2, 4, 7, 8)
56, (2, 4, 8, 10)
57, (2, 5, 6, 8)
58, (2, 5, 8, 9)
59, (2, 6, 7, 10)
60, (2, 6, 9, 11)
61, (2, 7, 8, 11)
62, (2, 7, 9, 10)
63, (2, 8, 10, 11)
64, (3, 4, 6, 8)
65, (3, 4, 8, 9)
66, (3, 6, 7, 9)
67, (3, 6, 8, 11)
68, (3, 6, 9, 10)
69, (3, 7, 8, 10)
70, (3, 8, 9, 11)
71, (4, 6, 7, 8)
72, (4, 6, 8, 10)
73, (4, 7, 8, 9)
74, (4, 8, 9, 10)
75, (5, 6, 8, 9)
76, (6, 7, 8, 11)
77, (6, 7, 9, 10)
78, (6, 8, 10, 11)
79, (7, 8, 9, 11)
80, (8, 9, 10, 11)
