81
0, (12, 13, 16, 17)
1, (12, 13, 17, 23)
2, (12, 14, 15, 17)
3, (12, 14, 16, 23)
4, (12, 14, 17, 19)
5, (12, 14, 17, 22)
6, (12, 15, 16, 19)
7, (12, 15, 16, 22)
8, (12, 15, 17, 18)
9, (12, 15, 17, 21)
10, (12, 15, 19, 23)
11, (12, 15, 22, 23)
12, (12, 16, 17, 20)
13, (12, 16, 18, 23)
14, (12, 16, 19, 22)
15, (12, 16, 21, 23)
16, (12, 17, 18, 19)
17, (12, 17, 18, 22)
18, (12, 17, 19, 21)
19, (12, 17, 20, 23)
20, (12, 17, 21, 22)
21, (12, 19, 22, 23)
22, (13, 14, 15, 16)
23, (13, 14, 15, 23)
24, (13, 14, 16, 19)
25, (13, 14, 16, 22)
26, (13, 14, 17, 18)
27, (13, 14, 17, 21)
28, (13, 14, 19, 23)
29, (13, 14, 22, 23)
30, (13, 15, 16, 18)
31, (13, 15, 16, 21)
32, (13, 15, 17, 20)
33, (13, 15, 18, 23)
34, (13, 15, 19, 22)
35, (13, 15, 21, 23)
36, (13, 16, 18, 19)
37, (13, 16, 18, 22)
38, (13, 16, 19, 21)
39, (13, 16, 20, 23)
40, (13, 16, 21, 22)
41, (13, 17, 18, 21)
42, (13, 17, 19, 20)
43, (13, 17, 20, 22)
44, (13, 18, 19, 23)
45, (13, 18, 22, 23)
46, (13, 19, 21, 23)
47, (13, 21, 22, 23)
48, (14, 15, 16, 20)
49, (14, 15, 18, 19)
50, (14, 15, 18, 22)
51, (14, 15, 19, 21)
52, (14, 15, 20, 23)
53, (14, 15, 21, 22)
54, (14, 16, 18, 21)
55, (14, 16, 19, 20)
56, (14, 16, 20, 22)
57, (14, 17, 18, 20)
58, (14, 17, 20, 21)
59, (14, 18, 19, 22)
60, (14, 18, 21, 23)
61, (14, 19, 20, 23)
62, (14, 19, 21, 22)
63, (14, 20, 22, 23)
64, (15, 16, 18, 20)
65, (15, 16, 20, 21)
66, (15, 18, 19, 21)
67, (15, 18, 20, 23)
68, (15, 18, 21, 22)
69, (15, 19, 20, 22)
70, (15, 20, 21, 23)
71, (16, 18, 19, 20)
72, (16, 18, 20, 22)
73, (16, 19, 20, 21)
74, (16, 20, 21, 22)
75, (17, 18, 20, 21)
76, (18, 19, 20, 23)
77, (18, 19, 21, 22)
78, (18, 20, 22, 23)
79, (19, 20, 21, 23)
80, (20, 21, 22, 23)
